Outlet Name,Outlet Reach (Weekly),Outlet Reach (Monthly),Market,Media Type
Idaho Statesman,42573.25,170293,Idaho,Online
IG: Colette Reitz,512,512,National ,Social
IG: Efrain,87102,87102,National ,Social
iHeart Radio,1468238.5,5872954,National,Online
iheart radio online,1117493,4469972,National ,Online
Illinois News Now,1000,4000,Illinois,Online
IMDB,5113790.75,20455163,National,Online
Indy Star,10000,40000,National,Online
Inform56,1000,4000,National,Online
Inquisitir,232585.75,930343,National,Online
International Business Times,343792.75,1375171,National,Online
Jackson Sun,5526.25,22105,"Jackson, FL",Online
Jags Wire,1635,6540,National,Online
Jaguars.com,6914.25,27657,"Jacksonville, FL",Online
Joe's Daily,1084,4336,Natioanl,Online
JournalStar,55868.25,223473,"Lincoln, NE",Online
Just-drinks,2497.5,9990,National,Online
K 104.7,1000,4000,"Beacon, NY",Online
K102 KM,1000,4000,"Minneapolis, MN",Online
K102.1,1000,4000,Minnesota,Online
KADN (FOX),4524,4524,"Lafayette, LA",TV
KAKE (ABC),4306,4306,"Wichita, KS",TV
Kansas City Star,139174.25,556697,"Kansas City, MO",Online
KARE-MIN (NBC),9378,9378,"Minneapolis, MN",TV
KARK (NBC),2166,2166,"Little Rock, AR",TV
Kat 103.7,1839,7356,"Omaha, NE",Online
KAT 94.3,1000,4000,"Jefferson City, MO",Online
KATC-TV Online,19042.25,76169,"Lafayette, LA",Online
KAVU (ABC),870,870,"Victoria, TX",TV
KAYU (FOX),1900,1900,"Spokane, WA",TV
KCMO,122,488,"Kansas City, MO",Online
KCPQ-SEA (FOX),2628,2628,"Seattle, WA",TV
KCTV-KC (CBS),36387,36387,"Kansas City, MO",TV
KCWY (NBC),2863,2863,"Casper, WY",TV
KDBC (CBS),1172,1172,"El Paso, TX",TV
KDVR,206927,827708,"Denver, CO",Online
KDVR (FOX),70852,70852,"Traverse City, MI",TV
KDVR-TV,12412,12412,"Denver, CO",TV
KESQ,23937,95748,"Palm Springs, CA",Online
KEYT,32773,131092,"Santa Barbara, CA",Online
KFDA (CBS),2657,2657,"Amarillo, TX",TV
KFGO Online,1000,4000,"Fargo, ND",Online
KFQX-TV,2165,2165,"Grand Junction, CO",TV
KFRU,45.5,182,"Columbia, MO",Online
KFXK (FOX),3277,3277,"Tyler, TX",TV
KGO-TV,9933.25,39733,"San Fran, CA",TV
KGTV Online,71819.5,287278,"San Diego, CA",Online
KGWN (CBS),13313,13313,"Cheyenne, WY",TV
khak,1000,4000,National,Online
KHNL-HON (NBC),5691,5691,"Honolulu, HI",TV
KHQ (NBC),18722,18722,"Spokane, WA",TV
KICKS 1063,1000,4000,"La Crosse, WI",Online
Kicks 99,1000,4000,"Augusta, GA",Online
KIFI (ABC),3344,3344,"Idaho Falls, ID",TV
KIIM 99.5,1000,4000,"Tuscon, AZ",Online
KIMT (CBS),607,607,"Rochester, MN",TV
KISS 95.1,1922.75,7691,"Mableton, GA",Online
